epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.8067,3.14066,4.79118,4.19115,0.00251,0.39418,0.00211,0.00064,2.59403,3.77612,4.0703,0.0033287,0.0033287,0.0033287
2,147.83,2.64138,4.40491,3.3214,0.46371,0.11701,0.04639,0.0157,2.26214,3.62522,3.0934,0.00659608,0.00659608,0.00659608
3,214.856,1.93215,3.60052,2.43834,0.21063,0.16727,0.04433,0.01768,2.2059,3.5173,3.12079,0.00979746,0.00979746,0.00979746
4,280.662,1.82549,3.26653,2.26808,0.41776,0.21796,0.11814,0.05638,1.94652,3.01952,2.71971,0.009703,0.009703,0.009703
5,346.703,1.74589,3.12488,2.18831,0.18494,0.28702,0.14904,0.06722,1.99159,2.84434,2.71007,0.009604,0.009604,0.009604
6,412.803,1.69763,3.00072,2.12063,0.51549,0.24003,0.22191,0.11509,1.85746,2.59403,2.51854,0.009505,0.009505,0.009505
7,479.919,1.66034,2.90133,2.08117,0.29986,0.33029,0.25315,0.13009,1.84877,2.44335,2.49273,0.009406,0.009406,0.009406
8,547.239,1.64122,2.81841,2.04344,0.49256,0.33581,0.28005,0.14059,1.84953,2.48576,2.44577,0.009307,0.009307,0.009307
9,614.422,1.61606,2.72935,2.00312,0.3446,0.38637,0.32759,0.17061,1.79037,2.34021,2.41706,0.009208,0.009208,0.009208
10,682.564,1.5885,2.65618,1.98599,0.28849,0.42323,0.35426,0.18709,1.75474,2.2416,2.36517,0.009109,0.009109,0.009109
11,749.936,1.5878,2.60212,1.97148,0.41976,0.39251,0.36429,0.18943,1.76321,2.23265,2.33678,0.00901,0.00901,0.00901
12,817.44,1.56682,2.53595,1.95148,0.37347,0.43365,0.41369,0.21821,1.74456,2.09206,2.35142,0.008911,0.008911,0.008911
13,884.937,1.55504,2.50102,1.9372,0.4287,0.45652,0.42684,0.2259,1.74661,2.00418,2.29752,0.008812,0.008812,0.008812
14,951.834,1.52965,2.43263,1.91209,0.45561,0.47284,0.45971,0.24211,1.74513,1.95228,2.31905,0.008713,0.008713,0.008713
15,1018.55,1.53683,2.40557,1.9157,0.45756,0.47409,0.45036,0.25258,1.67557,1.9302,2.23317,0.008614,0.008614,0.008614
16,1085.27,1.53141,2.33802,1.89722,0.50239,0.47975,0.46638,0.25753,1.69631,1.93104,2.26033,0.008515,0.008515,0.008515
17,1151.74,1.5153,2.28702,1.89237,0.55204,0.52553,0.51936,0.29236,1.66388,1.78004,2.2255,0.008416,0.008416,0.008416
18,1218.49,1.50758,2.25307,1.87787,0.58244,0.51716,0.52722,0.29392,1.68563,1.73725,2.22351,0.008317,0.008317,0.008317
19,1285.35,1.50436,2.21408,1.87462,0.55153,0.50403,0.52589,0.29856,1.63083,1.7118,2.20426,0.008218,0.008218,0.008218
20,1351.65,1.4879,2.19467,1.85661,0.59559,0.53197,0.55531,0.31504,1.63678,1.68712,2.19188,0.008119,0.008119,0.008119
21,1417.89,1.49257,2.14974,1.86354,0.58535,0.54787,0.56434,0.31667,1.62563,1.66283,2.18808,0.00802,0.00802,0.00802
22,1484.34,1.48542,2.13679,1.85538,0.64181,0.54353,0.56659,0.31823,1.65311,1.62396,2.21235,0.007921,0.007921,0.007921
23,1550.19,1.47491,2.09822,1.84687,0.61577,0.54672,0.57203,0.3258,1.60439,1.59818,2.16382,0.007822,0.007822,0.007822
24,1616.41,1.46673,2.07719,1.83077,0.67304,0.55629,0.59693,0.34005,1.62187,1.55941,2.16321,0.007723,0.007723,0.007723
25,1682.56,1.45619,2.03602,1.82732,0.67489,0.57251,0.60881,0.34635,1.61209,1.51241,2.15617,0.007624,0.007624,0.007624
