epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.2785,1.67137,3.88428,2.12648,0.4694,0.15776,0.13293,0.04314,2.18128,3.10368,3.02126,0.0033287,0.0033287,0.0033287
2,143.216,1.5355,3.186,2.00136,0.30525,0.28184,0.213,0.08535,2.12436,2.75447,2.79704,0.00659608,0.00659608,0.00659608
3,208.804,1.55336,3.04212,2.02459,0.46805,0.28159,0.22718,0.07792,2.25124,2.77008,2.93581,0.00979746,0.00979746,0.00979746
4,273.5,1.57559,2.94085,2.03596,0.26958,0.35375,0.27145,0.1064,2.15757,2.68258,2.76688,0.009703,0.009703,0.009703
5,338.487,1.5394,2.75493,1.99813,0.35872,0.38918,0.32496,0.13064,2.0953,2.35901,2.67107,0.009604,0.009604,0.009604
6,403.369,1.5184,2.63157,1.97261,0.37825,0.39822,0.36155,0.14747,2.13044,2.34398,2.70664,0.009505,0.009505,0.009505
7,468.146,1.49136,2.53771,1.94439,0.52978,0.37499,0.38426,0.16238,2.05497,2.35371,2.64105,0.009406,0.009406,0.009406
8,533.424,1.47916,2.46497,1.93189,0.44608,0.42613,0.41745,0.17818,2.00021,2.18863,2.60001,0.009307,0.009307,0.009307
9,597.957,1.45784,2.39334,1.91048,0.52874,0.44947,0.45687,0.20658,1.9632,2.05613,2.52938,0.009208,0.009208,0.009208
10,662.591,1.43977,2.33223,1.89604,0.52194,0.46519,0.46416,0.22317,1.90345,1.98643,2.39838,0.009109,0.009109,0.009109
11,727.007,1.42931,2.29964,1.89068,0.55355,0.46152,0.4822,0.22814,1.92501,1.99693,2.43836,0.00901,0.00901,0.00901
12,791.381,1.41985,2.23638,1.88437,0.5499,0.51214,0.50316,0.23929,1.90665,1.87697,2.44665,0.008911,0.008911,0.008911
13,855.768,1.41288,2.20899,1.87887,0.5957,0.51412,0.53119,0.24271,1.94723,1.77545,2.47851,0.008812,0.008812,0.008812
14,920.13,1.40043,2.17091,1.8679,0.61993,0.52969,0.54773,0.26733,1.9028,1.72223,2.42824,0.008713,0.008713,0.008713
15,984.461,1.40628,2.14665,1.863,0.62188,0.51111,0.5328,0.26529,1.84835,1.73516,2.35402,0.008614,0.008614,0.008614
16,1048.79,1.39519,2.11622,1.84891,0.69755,0.53113,0.5741,0.26265,1.94191,1.70788,2.48443,0.008515,0.008515,0.008515
17,1113.29,1.37591,2.07505,1.84263,0.6299,0.56089,0.57979,0.28527,1.83102,1.61351,2.32414,0.008416,0.008416,0.008416
18,1177.61,1.37908,2.05097,1.83961,0.64078,0.55966,0.58913,0.28359,1.83907,1.61211,2.36569,0.008317,0.008317,0.008317
19,1241.94,1.37363,2.03834,1.84075,0.68298,0.5902,0.61681,0.30759,1.8405,1.5184,2.33786,0.008218,0.008218,0.008218
20,1306.38,1.37214,2.02093,1.83305,0.69996,0.5697,0.60818,0.31066,1.7858,1.60512,2.28677,0.008119,0.008119,0.008119
21,1370.61,1.36242,1.99438,1.82955,0.6836,0.57816,0.62386,0.32028,1.79478,1.50383,2.28006,0.00802,0.00802,0.00802
22,1435.01,1.35781,1.9774,1.82179,0.69322,0.58682,0.6249,0.31401,1.77733,1.49781,2.26393,0.007921,0.007921,0.007921
23,1499.41,1.34909,1.94849,1.81359,0.73896,0.57501,0.63602,0.32203,1.77332,1.50806,2.26654,0.007822,0.007822,0.007822
24,1563.77,1.35019,1.93614,1.81274,0.76305,0.57286,0.64454,0.33458,1.76647,1.48483,2.24114,0.007723,0.007723,0.007723
25,1628.23,1.33844,1.89485,1.79866,0.71966,0.60545,0.65319,0.34842,1.71199,1.42387,2.18925,0.007624,0.007624,0.007624
