epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.154,1.46089,3.76355,1.82642,0.40029,0.30283,0.29919,0.13926,1.79418,2.50058,2.36013,0.0033287,0.0033287,0.0033287
2,148.461,1.50974,2.95248,1.82369,0.30083,0.36698,0.2856,0.13621,1.82301,2.60857,2.371,0.00659608,0.00659608,0.00659608
3,214.479,1.56461,2.85382,1.8804,0.25246,0.33356,0.22161,0.09394,1.97503,3.1511,2.6129,0.00979746,0.00979746,0.00979746
4,280.23,1.62297,2.74134,1.92213,0.40147,0.30684,0.31126,0.15175,1.86451,2.5724,2.4822,0.009703,0.009703,0.009703
5,345.938,1.57726,2.51282,1.88436,0.46726,0.44747,0.44797,0.2363,1.74829,2.10537,2.30679,0.009604,0.009604,0.009604
6,411.662,1.5488,2.35368,1.8452,0.46952,0.47819,0.45343,0.23078,1.77326,2.09827,2.29765,0.009505,0.009505,0.009505
7,477.518,1.52396,2.23179,1.81868,0.58607,0.46535,0.49136,0.24832,1.75995,1.93813,2.30949,0.009406,0.009406,0.009406
8,543.371,1.50898,2.13816,1.80045,0.62323,0.54503,0.56633,0.29909,1.68498,1.73966,2.22037,0.009307,0.009307,0.009307
9,609.211,1.47996,2.05487,1.77907,0.60072,0.49351,0.54487,0.29728,1.69361,1.83074,2.22969,0.009208,0.009208,0.009208
10,675.01,1.46252,1.97434,1.7667,0.63782,0.54857,0.58869,0.32636,1.64306,1.63509,2.12388,0.009109,0.009109,0.009109
11,740.906,1.46263,1.94024,1.75712,0.65539,0.55052,0.57938,0.32587,1.61053,1.73157,2.10841,0.00901,0.00901,0.00901
12,806.367,1.43112,1.87065,1.73949,0.66066,0.5351,0.57515,0.31152,1.68738,1.6983,2.18449,0.008911,0.008911,0.008911
13,871.791,1.43319,1.8439,1.73176,0.66694,0.5985,0.62153,0.3405,1.645,1.54022,2.1309,0.008812,0.008812,0.008812
14,937.055,1.40807,1.80592,1.71839,0.72492,0.60288,0.64352,0.36712,1.57057,1.44779,2.05274,0.008713,0.008713,0.008713
15,1002.48,1.41041,1.7671,1.715,0.68562,0.59795,0.63753,0.36118,1.58441,1.45178,2.05399,0.008614,0.008614,0.008614
16,1067.76,1.40036,1.73075,1.70249,0.71559,0.63776,0.67658,0.39274,1.55468,1.39805,2.04718,0.008515,0.008515,0.008515
17,1133.01,1.39351,1.67438,1.69886,0.71846,0.63651,0.67819,0.39439,1.53468,1.35514,2.02285,0.008416,0.008416,0.008416
18,1198.25,1.38311,1.6476,1.68778,0.7487,0.65392,0.68967,0.3975,1.55509,1.30064,2.03327,0.008317,0.008317,0.008317
19,1263.65,1.37778,1.62971,1.68976,0.77009,0.64117,0.68679,0.39734,1.53126,1.3503,2.01145,0.008218,0.008218,0.008218
20,1328.77,1.36646,1.60426,1.66969,0.72915,0.65748,0.68578,0.39545,1.5519,1.32488,2.03739,0.008119,0.008119,0.008119
21,1394.04,1.36689,1.57764,1.67739,0.7523,0.66154,0.70465,0.4064,1.54186,1.2348,2.02401,0.00802,0.00802,0.00802
22,1459.42,1.35911,1.561,1.66791,0.7691,0.65762,0.70914,0.42019,1.51266,1.19413,1.99285,0.007921,0.007921,0.007921
23,1524.68,1.34519,1.53978,1.6631,0.78026,0.64042,0.70342,0.41782,1.51996,1.23184,1.99458,0.007822,0.007822,0.007822
24,1589.92,1.34747,1.51222,1.65414,0.78485,0.65727,0.71347,0.42096,1.52837,1.19516,1.99959,0.007723,0.007723,0.007723
25,1655.2,1.33651,1.48419,1.64581,0.76538,0.66892,0.71248,0.42021,1.51483,1.20242,1.98645,0.007624,0.007624,0.007624
26,1720.63,1.31784,1.46987,1.63211,0.79868,0.67184,0.72766,0.43349,1.4917,1.19718,1.97061,0.007525,0.007525,0.007525
27,1785.88,1.32673,1.45094,1.63968,0.80069,0.66925,0.72932,0.42562,1.51604,1.16254,1.99494,0.007426,0.007426,0.007426
28,1851.11,1.32236,1.42836,1.63183,0.78665,0.6795,0.74067,0.43523,1.49295,1.12234,1.97607,0.007327,0.007327,0.007327
29,1916.29,1.31301,1.41495,1.62464,0.7916,0.67376,0.72773,0.43303,1.4947,1.13653,1.97917,0.007228,0.007228,0.007228
30,1981.52,1.31334,1.41431,1.62702,0.82817,0.68998,0.74726,0.44613,1.47396,1.09597,1.96044,0.007129,0.007129,0.007129
31,2046.78,1.29977,1.38822,1.61738,0.78817,0.68716,0.74639,0.44352,1.48855,1.12098,1.97404,0.00703,0.00703,0.00703
32,2111.96,1.29348,1.36308,1.61073,0.80244,0.71476,0.75932,0.44762,1.50292,1.08808,1.96973,0.006931,0.006931,0.006931
33,2177.23,1.2923,1.35679,1.60934,0.81436,0.69635,0.75617,0.44943,1.48626,1.07333,1.96812,0.006832,0.006832,0.006832
34,2242.61,1.27867,1.33415,1.59907,0.79561,0.69981,0.74983,0.44852,1.47807,1.08367,1.96171,0.006733,0.006733,0.006733
35,2307.75,1.27663,1.31623,1.59635,0.81578,0.69742,0.75381,0.44882,1.4973,1.07161,1.98163,0.006634,0.006634,0.006634
36,2372.94,1.27884,1.31694,1.59786,0.81117,0.70519,0.75776,0.4512,1.48755,1.06927,1.96795,0.006535,0.006535,0.006535
37,2438.16,1.27723,1.30621,1.58858,0.80312,0.69942,0.75415,0.45231,1.48368,1.05105,1.96705,0.006436,0.006436,0.006436
38,2503.41,1.26544,1.27436,1.58503,0.8275,0.71285,0.7619,0.45586,1.48192,1.03545,1.95918,0.006337,0.006337,0.006337
39,2568.54,1.25707,1.27488,1.58384,0.83725,0.70508,0.76353,0.45579,1.4854,1.05158,1.96287,0.006238,0.006238,0.006238
